Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
NAME_CONTRACT_TYPE,0,['Revolving loans'],23518,0.096,22243,1275,0.054,0.427,0.015,0.002,-0.637,-6.464
NAME_CONTRACT_TYPE,1,['Cash loans'],222490,0.904,203889,18601,0.084,-0.037,0.001,0.0,-0.637,6.788
NAME_CONTRACT_TYPE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.637,5.726
NAME_CONTRACT_TYPE,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.637,5.726
CODE_GENDER,0,['XNA' 'F'],161858,0.658,150524,11334,0.07,0.155,0.015,0.002,-0.707,0.831
CODE_GENDER,1,['M'],84150,0.342,75608,8542,0.102,-0.251,0.024,0.003,-0.707,13.67
CODE_GENDER,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.707,5.726
CODE_GENDER,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.707,5.726
FLAG_OWN_CAR,0,['Y'],83825,0.341,77789,6036,0.072,0.125,0.005,0.001,-1.128,-0.568
FLAG_OWN_CAR,1,['N'],162183,0.659,148343,13840,0.085,-0.06,0.002,0.0,-1.128,8.737
FLAG_OWN_CAR,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-1.128,5.726
FLAG_OWN_CAR,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-1.128,5.726
CNT_CHILDREN,0,"[-inf, 0.50)",172332,0.701,159046,13286,0.077,0.051,0.002,0.0,-0.497,4.594
CNT_CHILDREN,1,"[0.50, 1.50)",48929,0.199,44547,4382,0.09,-0.113,0.003,0.0,-0.497,8.232
CNT_CHILDREN,2,"[1.50, inf)",24747,0.101,22539,2208,0.089,-0.108,0.001,0.0,-0.497,8.14
CNT_CHILDREN,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.497,5.726
CNT_CHILDREN,4,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.497,5.726
AMT_INCOME_TOTAL,0,"[-inf, 76477.50)",19083,0.078,17592,1491,0.078,0.036,0.0,0.0,0.207,6.064
AMT_INCOME_TOTAL,1,"[76477.50, 98977.50)",28931,0.118,26505,2426,0.084,-0.041,0.0,0.0,0.207,5.35
AMT_INCOME_TOTAL,2,"[98977.50, 139484.25)",71608,0.291,65477,6131,0.086,-0.063,0.001,0.0,0.207,5.139
AMT_INCOME_TOTAL,3,"[139484.25, 160814.25)",26880,0.109,24502,2378,0.088,-0.099,0.001,0.0,0.207,4.807
AMT_INCOME_TOTAL,4,"[160814.25, 185517.00)",26400,0.107,24168,2232,0.085,-0.049,0.0,0.0,0.207,5.267
AMT_INCOME_TOTAL,5,"[185517.00, 223456.50)",18734,0.076,17229,1505,0.08,0.006,0.0,0.0,0.207,5.784
AMT_INCOME_TOTAL,6,"[223456.50, 229601.25)",16855,0.069,15587,1268,0.075,0.077,0.0,0.0,0.207,6.444
AMT_INCOME_TOTAL,7,"[229601.25, 313875.00)",19772,0.08,18382,1390,0.07,0.15,0.002,0.0,0.207,7.122
AMT_INCOME_TOTAL,8,"[313875.00, inf)",17745,0.072,16690,1055,0.059,0.33,0.007,0.001,0.207,8.784
AMT_INCOME_TOTAL,9,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.207,5.726
AMT_INCOME_TOTAL,10,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,0.207,5.726
AMT_CREDIT,0,"[-inf, 158105.25)",17258,0.07,16212,1046,0.061,0.309,0.006,0.001,0.252,9.216
AMT_CREDIT,1,"[158105.25, 281884.50)",48163,0.196,44464,3699,0.077,0.055,0.001,0.0,0.252,6.347
AMT_CREDIT,2,"[281884.50, 337630.50)",17670,0.072,15983,1687,0.095,-0.183,0.003,0.0,0.252,3.66
AMT_CREDIT,3,"[337630.50, 406309.50)",12535,0.051,11267,1268,0.101,-0.247,0.003,0.0,0.252,2.936
AMT_CREDIT,4,"[406309.50, 452565.00)",13024,0.053,11473,1551,0.119,-0.431,0.012,0.001,0.252,0.867
AMT_CREDIT,5,"[452565.00, 640269.00)",44192,0.18,39809,4383,0.099,-0.225,0.01,0.001,0.252,3.184
AMT_CREDIT,6,"[640269.00, 899163.00)",40790,0.166,37647,3143,0.077,0.051,0.0,0.0,0.252,6.307
AMT_CREDIT,7,"[899163.00, 1102749.75)",23040,0.094,21472,1568,0.068,0.185,0.003,0.0,0.252,7.818
AMT_CREDIT,8,"[1102749.75, 1345173.75)",16002,0.065,15045,957,0.06,0.323,0.006,0.001,0.252,9.376
AMT_CREDIT,9,"[1345173.75, inf)",13334,0.054,12760,574,0.043,0.67,0.018,0.002,0.252,13.287
AMT_CREDIT,10,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.252,5.726
AMT_CREDIT,11,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,0.252,5.726
AMT_ANNUITY,0,"[-inf, 13558.50)",42773,0.174,39894,2879,0.067,0.197,0.006,0.001,-0.347,2.661
AMT_ANNUITY,1,"[13558.50, 16409.25)",17722,0.072,16367,1355,0.076,0.06,0.0,0.0,-0.347,4.796
AMT_ANNUITY,2,"[16409.25, 26507.25)",76303,0.31,69635,6668,0.087,-0.086,0.002,0.0,-0.347,7.058
AMT_ANNUITY,3,"[26507.25, 29837.25)",20505,0.083,18558,1947,0.095,-0.177,0.003,0.0,-0.347,8.478
AMT_ANNUITY,4,"[29837.25, 31637.25)",12440,0.051,11027,1413,0.114,-0.377,0.008,0.001,-0.347,11.586
AMT_ANNUITY,5,"[31637.25, 35997.75)",20409,0.083,18627,1782,0.087,-0.085,0.001,0.0,-0.347,7.043
AMT_ANNUITY,6,"[35997.75, 41636.25)",20497,0.083,18834,1663,0.081,-0.005,0.0,0.0,-0.347,5.797
AMT_ANNUITY,7,"[41636.25, 46721.25)",12334,0.05,11469,865,0.07,0.153,0.001,0.0,-0.347,3.347
AMT_ANNUITY,8,"[46721.25, inf)",23015,0.094,21711,1304,0.057,0.381,0.012,0.001,-0.347,-0.193
AMT_ANNUITY,9,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.347,5.726
AMT_ANNUITY,10,Missing,10,0.0,10,0,0.0,0.0,0.0,0.0,-0.347,5.726
AMT_GOODS_PRICE,0,"[-inf, 160546.50)",22099,0.09,20624,1475,0.067,0.206,0.004,0.0,-0.681,-0.558
AMT_GOODS_PRICE,1,"[160546.50, 210012.75)",14139,0.057,12964,1175,0.083,-0.031,0.0,0.0,-0.681,6.662
AMT_GOODS_PRICE,2,"[210012.75, 282676.50)",44216,0.18,40467,3749,0.085,-0.053,0.001,0.0,-0.681,7.329
AMT_GOODS_PRICE,3,"[282676.50, 413955.00)",22837,0.093,20476,2361,0.103,-0.271,0.008,0.001,-0.681,13.999
AMT_GOODS_PRICE,4,"[413955.00, 451660.50)",22936,0.093,19736,3200,0.14,-0.612,0.045,0.006,-0.681,24.387
AMT_GOODS_PRICE,5,"[451660.50, 677889.00)",55075,0.224,50790,4285,0.078,0.041,0.0,0.0,-0.681,4.477
AMT_GOODS_PRICE,6,"[677889.00, 900045.00)",30738,0.125,28851,1887,0.061,0.296,0.01,0.001,-0.681,-3.281
AMT_GOODS_PRICE,7,"[900045.00, 1212750.00)",19912,0.081,18782,1130,0.057,0.379,0.01,0.001,-0.681,-5.827
AMT_GOODS_PRICE,8,"[1212750.00, inf)",13832,0.056,13235,597,0.043,0.667,0.019,0.002,-0.681,-14.605
AMT_GOODS_PRICE,9,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.681,5.726
AMT_GOODS_PRICE,10,Missing,224,0.001,207,17,0.076,0.068,0.0,0.0,-0.681,3.657
NAME_INCOME_TYPE,0,['Businessman' 'Student' 'Pensioner'],44338,0.18,41940,2398,0.054,0.43,0.028,0.003,-0.189,2.09
NAME_INCOME_TYPE,1,['State servant'],17381,0.071,16367,1014,0.058,0.35,0.007,0.001,-0.189,2.768
NAME_INCOME_TYPE,2,['Commercial associate'],57339,0.233,53000,4339,0.076,0.071,0.001,0.0,-0.189,5.125
NAME_INCOME_TYPE,3,['Working' 'Unemployed' 'Maternity leave'],126950,0.516,114825,12125,0.096,-0.183,0.019,0.002,-0.189,7.278
NAME_INCOME_TYPE,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.189,5.726
NAME_INCOME_TYPE,5,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.189,5.726
NAME_EDUCATION_TYPE,0,['Academic degree' 'Higher education'],60190,0.245,56944,3246,0.054,0.433,0.038,0.005,-0.444,-2.883
NAME_EDUCATION_TYPE,1,['Incomplete higher' 'Secondary / secondary special' 'Lower secondary'],185818,0.755,169188,16630,0.089,-0.112,0.01,0.001,-0.444,7.949
NAME_EDUCATION_TYPE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.444,5.726
NAME_EDUCATION_TYPE,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.444,5.726
NAME_FAMILY_STATUS,0,['Unknown' 'Widow'],12771,0.052,12037,734,0.057,0.366,0.006,0.001,-0.289,1.004
NAME_FAMILY_STATUS,1,['Married'],157320,0.639,145407,11913,0.076,0.07,0.003,0.0,-0.289,4.818
NAME_FAMILY_STATUS,2,['Separated'],15805,0.064,14504,1301,0.082,-0.02,0.0,0.0,-0.289,5.988
NAME_FAMILY_STATUS,3,['Single / not married'],36270,0.147,32714,3556,0.098,-0.212,0.007,0.001,-0.289,8.47
NAME_FAMILY_STATUS,4,['Civil marriage'],23842,0.097,21470,2372,0.099,-0.229,0.006,0.001,-0.289,8.68
NAME_FAMILY_STATUS,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.289,5.726
NAME_FAMILY_STATUS,6,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.289,5.726
NAME_HOUSING_TYPE,0,"['Office apartment' 'House / apartment' 'Co-op apartment'
 'Municipal apartment']",230254,0.936,212227,18027,0.078,0.034,0.001,0.0,0.037,5.783
NAME_HOUSING_TYPE,1,['With parents' 'Rented apartment'],15754,0.064,13905,1849,0.117,-0.414,0.013,0.002,0.037,5.038
NAME_HOUSING_TYPE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.037,5.726
NAME_HOUSING_TYPE,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,0.037,5.726
REGION_POPULATION_RELATIVE,0,"[-inf, 0.01)",83849,0.341,76780,7069,0.084,-0.046,0.001,0.0,-0.016,5.76
REGION_POPULATION_RELATIVE,1,"[0.01, 0.02)",15570,0.063,14220,1350,0.087,-0.077,0.0,0.0,-0.016,5.782
REGION_POPULATION_RELATIVE,2,"[0.02, 0.02)",20187,0.082,18092,2095,0.104,-0.276,0.007,0.001,-0.016,5.927
REGION_POPULATION_RELATIVE,3,"[0.02, 0.02)",30313,0.123,27628,2685,0.089,-0.1,0.001,0.0,-0.016,5.799
REGION_POPULATION_RELATIVE,4,"[0.02, 0.03)",60160,0.245,55450,4710,0.078,0.034,0.0,0.0,-0.016,5.701
REGION_POPULATION_RELATIVE,5,"[0.03, 0.04)",18455,0.075,17288,1167,0.063,0.264,0.005,0.001,-0.016,5.534
REGION_POPULATION_RELATIVE,6,"[0.04, inf)",17474,0.071,16674,800,0.046,0.605,0.02,0.002,-0.016,5.285
REGION_POPULATION_RELATIVE,7,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.016,5.726
REGION_POPULATION_RELATIVE,8,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.016,5.726
DAYS_BIRTH,0,"[-inf, -23180.50)",12545,0.051,12000,545,0.043,0.66,0.017,0.002,0.193,11.423
DAYS_BIRTH,1,"[-23180.50, -21117.50)",26938,0.11,25493,1445,0.054,0.439,0.018,0.002,0.193,9.511
DAYS_BIRTH,2,"[-21117.50, -20087.50)",15240,0.062,14365,875,0.057,0.367,0.007,0.001,0.193,8.89
DAYS_BIRTH,3,"[-20087.50, -19344.50)",12303,0.05,11541,762,0.062,0.286,0.004,0.0,0.193,8.195
DAYS_BIRTH,4,"[-19344.50, -18338.50)",14738,0.06,13719,1019,0.069,0.168,0.002,0.0,0.193,7.179
DAYS_BIRTH,5,"[-18338.50, -17201.50)",16978,0.069,15731,1247,0.073,0.103,0.001,0.0,0.193,6.617
DAYS_BIRTH,6,"[-17201.50, -15329.50)",31801,0.129,29330,2471,0.078,0.042,0.0,0.0,0.193,6.092
DAYS_BIRTH,7,"[-15329.50, -14656.50)",12621,0.051,11602,1019,0.081,0.001,0.0,0.0,0.193,5.733
DAYS_BIRTH,8,"[-14656.50, -14017.50)",12381,0.05,11355,1026,0.083,-0.028,0.0,0.0,0.193,5.488
DAYS_BIRTH,9,"[-14017.50, -12732.50)",23734,0.096,21555,2179,0.092,-0.14,0.002,0.0,0.193,4.519
DAYS_BIRTH,10,"[-12732.50, -11308.50)",24713,0.1,22229,2484,0.101,-0.24,0.006,0.001,0.193,3.655
DAYS_BIRTH,11,"[-11308.50, -10579.50)",12307,0.05,10942,1365,0.111,-0.35,0.007,0.001,0.193,2.705
DAYS_BIRTH,12,"[-10579.50, -9414.50)",17362,0.071,15410,1952,0.112,-0.365,0.011,0.001,0.193,2.573
DAYS_BIRTH,13,"[-9414.50, inf)",12347,0.05,10860,1487,0.12,-0.443,0.012,0.001,0.193,1.901
DAYS_BIRTH,14,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.193,5.726
DAYS_BIRTH,15,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,0.193,5.726
DAYS_EMPLOYED,0,"[-inf, -5443.50)",19024,0.077,18170,854,0.045,0.626,0.023,0.003,-0.371,-4.673
DAYS_EMPLOYED,1,"[-5443.50, -3892.50)",17641,0.072,16637,1004,0.057,0.376,0.009,0.001,-0.371,-0.521
DAYS_EMPLOYED,2,"[-3892.50, -3101.50)",15607,0.063,14611,996,0.064,0.254,0.004,0.0,-0.371,1.504
DAYS_EMPLOYED,3,"[-3101.50, -2423.50)",19335,0.079,17941,1394,0.072,0.123,0.001,0.0,-0.371,3.678
DAYS_EMPLOYED,4,"[-2423.50, -1789.50)",22619,0.092,20811,1808,0.08,0.012,0.0,0.0,-0.371,5.532
DAYS_EMPLOYED,5,"[-1789.50, -1475.50)",14983,0.061,13606,1377,0.092,-0.141,0.001,0.0,-0.371,8.069
DAYS_EMPLOYED,6,"[-1475.50, -1187.50)",15344,0.062,13798,1546,0.101,-0.243,0.004,0.001,-0.371,9.759
DAYS_EMPLOYED,7,"[-1187.50, -952.50)",14380,0.058,12896,1484,0.103,-0.269,0.005,0.001,-0.371,10.202
DAYS_EMPLOYED,8,"[-952.50, -566.50)",25719,0.105,22876,2843,0.111,-0.346,0.015,0.002,-0.371,11.48
DAYS_EMPLOYED,9,"[-566.50, -233.50)",24147,0.098,21361,2786,0.115,-0.395,0.018,0.002,-0.371,12.282
DAYS_EMPLOYED,10,"[-233.50, 182621.50)",12885,0.052,11505,1380,0.107,-0.311,0.006,0.001,-0.371,10.891
DAYS_EMPLOYED,11,"[182621.50, inf)",44324,0.18,41920,2404,0.054,0.427,0.028,0.003,-0.371,-1.368
DAYS_EMPLOYED,12,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.371,5.726
DAYS_EMPLOYED,13,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.371,5.726
DAYS_REGISTRATION,0,"[-inf, -10894.50)",15626,0.064,14780,846,0.054,0.429,0.01,0.001,-0.278,0.392
DAYS_REGISTRATION,1,"[-10894.50, -9322.50)",16901,0.069,15909,992,0.059,0.343,0.007,0.001,-0.278,1.456
DAYS_REGISTRATION,2,"[-9322.50, -6940.50)",38522,0.157,35764,2758,0.072,0.131,0.003,0.0,-0.278,4.099
DAYS_REGISTRATION,3,"[-6940.50, -5709.50)",22440,0.091,20688,1752,0.078,0.037,0.0,0.0,-0.278,5.264
DAYS_REGISTRATION,4,"[-5709.50, -4445.50)",31099,0.126,28442,2657,0.085,-0.061,0.0,0.0,-0.278,6.484
DAYS_REGISTRATION,5,"[-4445.50, -4000.50)",12311,0.05,11252,1059,0.086,-0.068,0.0,0.0,-0.278,6.577
DAYS_REGISTRATION,6,"[-4000.50, -1022.50)",73204,0.298,66854,6350,0.087,-0.078,0.002,0.0,-0.278,6.691
DAYS_REGISTRATION,7,"[-1022.50, -535.50)",16513,0.067,14981,1532,0.093,-0.151,0.002,0.0,-0.278,7.609
DAYS_REGISTRATION,8,"[-535.50, inf)",19392,0.079,17462,1930,0.1,-0.229,0.005,0.001,-0.278,8.575
DAYS_REGISTRATION,9,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.278,5.726
DAYS_REGISTRATION,10,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.278,5.726
DAYS_ID_PUBLISH,0,"[-inf, -4721.50)",24694,0.1,23237,1457,0.059,0.338,0.01,0.001,-0.359,0.307
DAYS_ID_PUBLISH,1,"[-4721.50, -4543.50)",14186,0.058,13326,860,0.061,0.309,0.005,0.001,-0.359,0.77
DAYS_ID_PUBLISH,2,"[-4543.50, -4218.50)",30333,0.123,28405,1928,0.064,0.258,0.007,0.001,-0.359,1.579
DAYS_ID_PUBLISH,3,"[-4218.50, -4033.50)",18288,0.074,16946,1342,0.073,0.104,0.001,0.0,-0.359,4.053
DAYS_ID_PUBLISH,4,"[-4033.50, -3338.50)",31886,0.13,29392,2494,0.078,0.035,0.0,0.0,-0.359,5.161
DAYS_ID_PUBLISH,5,"[-3338.50, -2884.50)",18637,0.076,17132,1505,0.081,0.001,0.0,0.0,-0.359,5.717
DAYS_ID_PUBLISH,6,"[-2884.50, -1886.50)",40180,0.163,36649,3531,0.088,-0.092,0.001,0.0,-0.359,7.199
DAYS_ID_PUBLISH,7,"[-1886.50, -1081.50)",29821,0.121,26916,2905,0.097,-0.205,0.006,0.001,-0.359,9.02
DAYS_ID_PUBLISH,8,"[-1081.50, -753.50)",12332,0.05,11117,1215,0.099,-0.218,0.003,0.0,-0.359,9.222
DAYS_ID_PUBLISH,9,"[-753.50, -393.50)",12662,0.051,11380,1282,0.101,-0.248,0.004,0.0,-0.359,9.708
DAYS_ID_PUBLISH,10,"[-393.50, inf)",12989,0.053,11632,1357,0.104,-0.283,0.005,0.001,-0.359,10.269
DAYS_ID_PUBLISH,11,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.359,5.726
DAYS_ID_PUBLISH,12,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.359,5.726
OWN_CAR_AGE,0,"[-inf, 3.50)",15748,0.064,14828,920,0.058,0.348,0.007,0.001,-0.442,-1.159
OWN_CAR_AGE,1,"[3.50, 6.50)",12464,0.051,11802,662,0.053,0.449,0.008,0.001,-0.442,-3.152
OWN_CAR_AGE,2,"[6.50, 9.50)",14719,0.06,13797,922,0.063,0.274,0.004,0.0,-0.442,0.309
OWN_CAR_AGE,3,"[9.50, 16.50)",23483,0.095,21560,1923,0.082,-0.015,0.0,0.0,-0.442,6.016
OWN_CAR_AGE,4,"[16.50, inf)",17407,0.071,15798,1609,0.092,-0.147,0.002,0.0,-0.442,8.638
OWN_CAR_AGE,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.442,5.726
OWN_CAR_AGE,6,Missing,162187,0.659,148347,13840,0.085,-0.06,0.002,0.0,-0.442,6.904
FLAG_EMP_PHONE,0,"[-inf, 0.50)",44334,0.18,41929,2405,0.054,0.427,0.027,0.003,0.562,16.46
FLAG_EMP_PHONE,1,"[0.50, inf)",201674,0.82,184203,17471,0.087,-0.076,0.005,0.001,0.562,3.812
FLAG_EMP_PHONE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.562,5.726
FLAG_EMP_PHONE,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,0.562,5.726
FLAG_WORK_PHONE,0,"[-inf, 0.50)",197070,0.801,181926,15144,0.077,0.054,0.002,0.0,-0.458,4.612
FLAG_WORK_PHONE,1,"[0.50, inf)",48938,0.199,44206,4732,0.097,-0.197,0.008,0.001,-0.458,9.765
FLAG_WORK_PHONE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.458,5.726
FLAG_WORK_PHONE,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.458,5.726
FLAG_PHONE,0,"[-inf, 0.50)",176962,0.719,161954,15008,0.085,-0.053,0.002,0.0,-0.347,6.546
FLAG_PHONE,1,"[0.50, inf)",69046,0.281,64178,4868,0.071,0.147,0.006,0.001,-0.347,3.44
FLAG_PHONE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.347,5.726
